latitude,longitude
37.77583916363912,-122.41932951432838
37.77623550989148,-122.41910042028447
37.77679054132942,-122.41841710630847
37.77720416548816,-122.41891823128373
37.777758841725415,-122.41924854978367
37.77683289245019,-122.41857898182108
37.77631443391786,-122.41847115684917
37.77555519771102,-122.41920277178993
37.77507140594202,-122.41917356504099
37.7748791005161,-122.41821261924244
37.77472690260401,-122.41829869361433
37.77425095402346,-122.41872647625742
37.77518409873597,-122.41893247291058
37.77460556003549,-122.41874155720534
37.775501142877836,-122.41865047503788
37.77575852157536,-122.41791230059506
37.77583621819325,-122.41745640647682
37.77518549902463,-122.4167550374677
37.77508331253137,-122.41594331673343
37.77480195521877,-122.41523145356696
37.774329813111876,-122.41485794292097
37.774326175913544,-122.4142465780508
37.775301075363174,-122.41496645969019
37.775192238813275,-122.41424512270737
37.77465140104825,-122.41521801978341
37.77448030236145,-122.4146685620376
37.773879664219095,-122.41507819537681
37.77425138913745,-122.41424535285459
37.77439369772334,-122.41449309727362
37.77350163104173,-122.41436058462659
37.774100222110086,-122.41414097451275
37.773456597543124,-122.41390289147222
37.77283222188358,-122.41339902099826
37.77329433351395,-122.41405094221261
37.77416022659178,-122.41388293156865
37.77415609292454,-122.4130944335698
37.77321836123704,-122.41246300116266
37.77271619906746,-122.41184718366824
37.77245395529074,-122.41203777268187
37.772548960089544,-122.41292753771376
37.77293074016286,-122.41249332452168
37.772385106287665,-122.41345221457141
37.773292680108725,-122.41366842694923
37.77370426828491,-122.41387270489084
37.77445216911894,-122.41342923244375
37.77466548789305,-122.41330326817892
37.77491911270378,-122.41367611201359
37.775789653091955,-122.41279930321605
37.77558448879319,-122.41343020313475
37.77591615217968,-122.41273829708743
37.775599865453785,-122.41216574290297
37.775689000014886,-122.41219524985449
37.775101195378475,-122.41242218373404
37.77528216983091,-122.41316279880334
37.77516355717577,-122.41241720250832
37.774470955709056,-122.41336831143035
37.77500204604443,-122.41358079748804
37.77433018918727,-122.41377246215872
37.77361167443478,-122.41346741630062
37.77290170530577,-122.41423602056548
37.77329122911696,-122.41439702250366
37.77286344627995,-122.41349529799773
37.77366634952957,-122.41445515146499
37.774636781137104,-122.41525486226367
37.77387262345095,-122.41552087821731
37.774340828175035,-122.416146482957
37.7742894480882,-122.4160391736788
37.77339019830412,-122.41513613208568
37.772587188105156,-122.41536891594801
37.773010540785215,-122.41460929783389
37.77289927784482,-122.4150370333472
37.77211607840835,-122.41507763398772
37.771174894010315,-122.41429262441812
37.771000058004454,-122.41520131671669
37.77015315906245,-122.41559078253749
37.770424682640545,-122.41577706388138
37.77068664689487,-122.41640339449238
37.77023062417404,-122.41647834576725
37.76949712292571,-122.4170774510968
37.768594984642185,-122.41804672411642
37.769156947928785,-122.41832689274707
37.76946135508363,-122.41775938172401
37.77028908900575,-122.41817491912569
37.770146625714055,-122.41776146663976
37.76958960187612,-122.41734339945555
37.76977317024365,-122.41725666251574
37.76985043778661,-122.41680871219326
37.77012423226583,-122.41666537437129
37.76920588885406,-122.41610504808533
37.770114613724346,-122.41667997537972
37.770129115913846,-122.41655290655605
37.7695677792421,-122.41715454965724
37.7697924238101,-122.41631313825431
37.76969777371801,-122.41701828110111
37.76892097324092,-122.4167888014777
37.76819139468376,-122.41719468535439
37.76912062322333,-122.4165141187313
37.7682864246399,-122.41575693073528
37.76922267606748,-122.41632457751464
37.768936407021336,-122.41617447954093
